Encounter,Year ,Month,Date,Manta Individual,Ided by,Name,ID Shot?,Sex,Age Class,Pigmentation,Latitude,Longitude,Time Observed,Water Depth (ft),Water Depth (m),Water Temperature (°F),Water Temperature (°C),Dissolved Oxygen (mg/L),Salinity (ppt),Habitat,Disc Width (ft),Disc Width (m),How Disc Width Measured,Encounter Length (minutes),Behavioral Index,Behavior,Feeding,Somersault/Barrel Roll,Travel Direction,Tide,Within 1 km of inlet,Tide Chart Used,Distance to Closest Inlet (km),Which Inlet,Distance to Closest Pier/Jetty,Which Pier,Within 1 km of Pier or Inlet,New Fishing Gear,Fishing Gear Location,Old Fishing Gear Present,2nd Fishing Gear Location,New Injury?,Injury Location,Injury Cause,Recent?,More Injuries?,Associated Species Analysis,Acoustic Tag,Satellite Tag,Genetic Sample,Mucous Sample,Zooplankton Sample,Dorsal Photo,Ventral Photo,Adopted/Named By,Notes,MM Encounter,Verfied,Resting T/F,Feeding T/F
144,2019,Oct,10/22/2019,27,FMP Survey,Gillie,Yes,Male,Immature,Normal,26.554767,-80.038950,12:50,15.2,4.63,82.5,28.06,,,Sand ,,0,,22,2,Traveling,N/A,,South,Flood,No,BBI,1.1,BBI,1.1,BBI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Katilyn spotted Gillie at ~1250 while we had drone up.  He was swimming directly at boat heading south.  JP got in saw it was Gillie, then everyone else took turns.  He was very relaxed and didn't react much to us other than taking some backward glances.  Left him at 13:12 heading south just N of BBI.",,,0,0
145,2019,Oct,10/27/2019,20,FMP Survey,Rosa,Yes,Female,Unknown,Normal,26.548317,-80.038583,10:46,15.3,4.66,81.7,27.61,,,Sand,11,3.4,Field Estimation,5,3,Traveling,N/A,,South,Ebb,Yes,BBI,0.5,BBI,0.5,BBI,Yes,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Found Rosa with drone at 1046 heading south.  BT got in.  Rosa was super chill. She flashed him and then stopped swimming undeneath him.  He was easily able to get ID shot.  Lost going south ~1051. BT estimated DW as 11',,,0,1
146,2019,Oct,10/27/2019,58,FMP Survey,,Yes,Female,Unknown,Normal,26.567317,-80.037067,11:44,13.8,4.21,82.1,27.83,,,Sand ,8,2.4,Field Estimation,Not recorded,2,Traveling,N/A,,North,Ebb,No,BBI,2.5,BBI,2.5,BBI,No,Yes,Anterior Ventral,,"No Hook Visible, Line Entanglement",Yes,Pectoral Fin,Fishing Line,Healed,,No,No,No,No,,,Yes,Yes,,"Found Manta 58 on last drone battery by wreck in BB going north.  BT got in and manta flashed him, BT felt like manta was guarding his dorsum would only show him ventral side.  Manta swam east.  JP got in, swimming on bottom, pretty chill.  JP got in with scissors not camera. Was able to cut off some of the trailing line on right side.  Lost going East.  Found again with drone, but unable to keep up with it in deeper water without drone.  Unable to get in water again.  One hook on left mouth trailing ventral side with lots of algae. Another piece of fishing line wrapped around right CF and right body. Injury did not appear to be recent, healing.",,,0,1
147,2019,Oct,10/28/2019,59,FMP Survey,,Yes,Male,Immature,Normal,26.572967,-80.037383,9:15,8.1,2.47,82,27.78,,,Hardbottom,8.5,2.6,Field Estimation,195,2,Feeding,Bottom,,South,Flood,No,BBI,2.5,BBI,2.5,BBI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found Manta 59 with drone at 09:15 traveling south.  JP missed ID shot on first few attempts.  Hard to keep track of him with clouds over limestone.  Put up drone to find him and found three mantas (Manta 60 and no ID). Manta 59 and Manta 60 swam back and forth, feeding over limestone for hours.  Was a little skittish at first, but calmed down.  Can get extra time and wypts from drone photos.  Left around 12:30. ",,,0,0
148,2019,Oct,10/28/2019,60,FMP Survey,,Yes,Male,Immature,Normal,26.566767,-80.038000,9:58,8.1,2.47,82,27.78,,,Hardbottom,8,2.4,Field Estimation,150,2,Feeding,Bottom,,South,Ebb,No,LWP,4.1,BBI,3.4,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,Yes,,Yes,Yes,,"Found Manta 60 at 9:58, swimming with Manta 59 and another unidentified manta.  We stayed with Manta 59 and 60 for around two hours.  They were swimming in circles over the hardbottom, feeding.  At first a little skittish, but calmed down. At 1229, JP got a mucous sample from Manta 60's right dorsum.  Not the best sample, but there is mucous. Left after sampling.",,,0,0
149,2019,Oct,10/28/2019,No ID,FMP Survey,,No,Unknown,Unknown,,26.566767,-80.038000,9:58,8.1,2.47,82,27.78,,,Hardbottom,,0,,,,Not Determined,N/A,,,Ebb,No,LWP,4.1,BBI,3.4,LWP,No,,N/A,,N/A,,,,,,No,,,,,,,,,,,,0,0
150,2019,Nov,11/22/2019,49,FMP Survey,Georgie,Yes,Female,Unknown,Normal,26.552120,-80.039680,9:30,10,3.05,77.7,25.39,,,Sand,7,2.1,Field Estimation,Not recorded,2,Traveling,N/A,,South,Ebb,Yes,BBI,0.8,BBI,0.8,BBI,Yes,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found Georgie with drone at 9:30 traveling south.  KM got in water twice, got ID shot pretty easily.  Manta was pretty chill.  Lost manta and found again with drone, but against sandbar south of BBI where waves are breaking and water is murky.  Left to go look south.  Found again along green/blue water line just south of BBI.  Jess got in, manta was chill but current was strong.  Disc width estimated at 7 ft.",,,0,0
151,2020,Feb,2/3/2020,45,FMP Survey,Byrd,Yes,Female,Unknown,Normal,26.545208,-80.041879,10:19,15,4.57,74,23.33,,,Hardbottom,10,3,Field Estimation,154,2,Resting,N/A,N/A,None,Low,Yes,BBI,0,BBI,0,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,Yes,,"While on survey heading south, Adam (Starfish) called at 10:03 to say manta was just outside inlet (to south by rocks).  We motored down and located Manta 45 on first drone flight at ~10:22 at mouth of BBI facing into current.  People on south jetty watching manta.  Didn't see any fishing interactions. Watched manta in inlet over 4.5 drone flights until 11:45.  Drove boat through inlet to look at manta, then docked boat and walked to inlet.  Manta relaxing east of bridge on south side. JP got in three times with manta.  First time missed ID shot. Second time got mostly ID shot.  Afterwards swam into current with her for ~minute (she was pretty chill).  Got in third time and got close up of spots.  During this encounter she did the ""bucking"" motion with trembling. But didn't swim far away.  Didn't see any fishing line. People watching us. She was in same place when we left at 12:50. Tide incoming",781a8ba2-df71-4f12-8b65-b7cc4dbf98ff,VF 8/9/22,1,0
152,2020,Feb,2/3/2020,No ID,FMP Survey,,No,Unknown,Unknown,Normal,26.542456,-80.041653,11:27,,0,,,,,,,0,,,,,,,,Low,Yes,BBI,0.3,BBI,0.3,BBI,Yes,,N/A,N/A,N/A,,,,,,No,,,,,,,,,Didn't see this manta until looking at drone footage at home.  Was swimming behind the boat while we were focused on Manta 45 in the inlet,,VF 8/9/22,0,1
153,2020,May,5/17/2020,61,FMP Survey,Bimini,Yes,Female,Unknown,Normal,26.542000,-80.041980,16:56,8.6,2.62,85.64,29.8,,,Sand,7,2.1,Field Estimation,19,2,Traveling,N/A,N/A,South,Flood,Yes,BBI,0.4,BBI,0.4,BBI,Yes,No,N/A,N/A,N/A,Yes,Pectoral Fin,Unknown,Recent,No,Yes,No,No,No,No,No,Yes,Yes,,"Found manta at 16:56 while on anchor.  Jess noticed manta swimming just east of boat.  Pulled anchor.  JP got in first and easily got ID shot.  She continued to travel south and MR, BT, and EB all got in.  She was still pretty tolerant but a little less so.  Left her at 1715 still traveling south. Small injury on leading edge of left pectoral fin",0546f326-4000-402b-a066-714f55b4f1a8,VF 8/9/22,0,1
154,2020,Jun,6/15/2020,45,FMP Survey,Byrd,Yes,Female,Unknown,Normal,26.907550,-80.059300,9:49,11.4,3.48,80.8,27.11,,,Sand,11.5,3.5,Field Estimation,21,3,Feeding,Near Surface,No,None,Ebb,No,JI,4.2,JI,1.6,JBP,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,"Steve saw 2 mantas with plane at 9:39.  Found Manta 45 at 9:49 swimming back and forth with smaller male, Manta 62.  Jess got in and she swam inverted for over minute, very calmly. MR and TB also got in with her. Estimated her DW at 11-12 ft.  Left her at 10:10. 2/6/22 VF classified feeding as near surface based on videos of manta swimming just below the surface with open mouth and unrolled CFs.",fc387373-c841-49d3-9077-11ab407b7fba,VF 8/9/22,0,1
155,2020,Jun,6/15/2020,62,FMP Survey,,Yes,Male,Immature,Normal,26.907550,-80.059300,9:49,11.4,3.48,80.8,27.11,,,Sand,7,2.1,Field Estimation,21,2,Feeding,Not recorded,No,None,Ebb,No,JI,4.2,JI,1.6,JBP,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,Steve saw 2 mantas with plane at 9:39.  Found Manta 62 at 9:49 swimming back and forth with larger female Manta 45.  Jess was in water with Manta 45 and swam over to 62 and got ID shot. Estimated her DW at 7 ft.  Left her at 10:10.,58d86eb9-f46e-40f0-9f7a-3ac088885b64,VF 8/9/22,0,1
156,2020,Jun,6/15/2020,63,FMP Survey,,Yes,Male,Immature,Normal,26.860550,-80.045310,10:36,10.7,3.26,80.6,27,,,Sand,7,2.1,Field Estimation,38,1,Feeding,Not recorded,No,None,Low,No,JI,9.6,JI,3.8,JBP,No,No,N/A,N/A,N/A,Yes,Pectoral Fin,Fishing Line,Healed,No,No,No,No,No,No,No,No,Yes,,Found Manta 63 with Manta 64 at 10:36 swimming very close to shore.  For entire encounter mantas swam back and forth feeding.  Jess got in once and got ID shot but didn't realize it. Got in again and he spooked pretty bad. Got in with Manta 64 and then went back to Manta 63.  Mareena got in and he upside down swam for 20 seconds. Left at 11:14.,1a46c511-19c2-42df-9eba-819970cff7c4,VF 8/9/22,0,0
157,2020,Jun,6/15/2020,64,FMP Survey,Skye,Yes,Male,Immature,Normal,26.860550,-80.045310,10:36,10.7,3.26,80.6,27,,,Sand,8,2.4,Field Estimation,38,2,Feeding,Not recorded,No,None,Low,No,JI,9.6,JI,3.8,JBP,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 64 with Manta 63 at 10:36 swimming very close to shore.  For entire encounter mantas swam back and forth feeding.  Jess got in and got ID shot. Angry flipped at Jess for a second. Octavio spend a while with this manta while Mareena was in with Manta 63.  Pretty chill overall. Left at 11:14.,1bf65483-769b-490c-90da-d15df107d9fc,VF 8/9/22,0,0
158,2020,Jun,6/17/2020,46,FMP Survey,Rikki,Yes,Female,Unknown,Normal,26.635020,-80.035500,11:27,4,1.22,82,27.78,,,Sand,10,3,Field Estimation,50,2,Traveling,N/A,No,South,Low,No,LWP,10,BBI,2.5,LWP,No,Yes,Dorsal Pectoral,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 46 swimming south in shallow water next to beach (took waypoint East of manta).  Water was very stirred up and viz was <5ft.  JP got in but couldn't see manta until almost touching. Manta swam out east.  JP got ID shot, measured with lasers (some problems), and attempted to remove fishing line on left shoulder. She was pretty calm most of encounter.  Let JP dive down and almost grabbed fishing line twice.  She got frustrated once when between BT and JP and did back flip to avoid BT.  We followed her south to LWP.  SM, JP and MR all got in water but remained away, except for MR who almost got fishing line.  MR was able to grab fishing line but Manta ""jumped"" just ahead of her, but did not completely spook.  Watched her swim under LWP at 1217 (no fishermen cast on her) and left her.  Had to identify her by the triangle shaped scar on right pectoral fin (less obvious than it was last year).  No spots. Disc width estimated to be 10 ft in the field. Lake Worth Casino posted that a manta was seen a pier this day. ",ace7a366-b2b5-4a85-a9e9-e56aa4c16511,VF 8/9/22,0,1
159,2020,Jun,6/17/2020,65,FMP Survey,,Yes,Male,Immature,Normal,26.552500,-80.040740,10:09,7.2,2.2,81.9,27.72,,,Sand,9,2.7,Field Estimation,14,2,Traveling,N/A,N/A,South,Ebb,Yes,BBI,0.8,BBI,0.8,BBI,Yes,Yes,Anterior Dorsal,N/A,N/A,Yes,Pectoral Fin,Unknown,Healed,No,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 65 at 10:09 traveling south.  Jess got in and got ID shot.  Then BT got in to take photos while JP tried to remove fishing line.  He allowed JP to dive down to him but unable to get to fishing line.  He angry flashed us on the last encounter. Fishing line attached to upper jaw.  Injury to right posterior body (apparently from fishing line that has moved and rubbed).  Left him at 10:25.,1716a1c2-8094-4eaa-9c7a-53fe13805acc,VF 8/9/22,0,0
160,2020,Jun,6/22/2020,66,FMP Survey,Wiley,Yes,Female,Unknown,Normal,27.120295,-80.140558,11:37,8.2,2.5,83.9,28.83,,,Sand,8,2.4,Field Estimation,61,2,Feeding,Near Surface,No,None,High,No,SLI,5.3,SLI,5.3,SLI,No,Yes,Anterior Ventral,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,Yes,,"Found Manta 66 with drone at 11:37.  Smaller spotted eagle ray was following her.  She was in the very brown murky water, feeding. Water was brown and warm on top and blue and cooler down below.  Manta seemed skittish at first but was mostly that the water was murky that she was hard to see.  Found her on first two drops, but it took many more drops to get ID shot.  Got another shot to film the large fishing lure hooked to her lower jaw. Left her still feeding in brown water at 1238. 8/10/22 VF classified feeding as near surface based on videos of manta swimming just below the surface with open mouth and unrolled CFs.",56389f17-bbd4-420e-9505-3a5cac9add1d,VF 8/10/22,0,0
161,2020,Jun,6/29/2020,62,FMP Survey,Cliff,Yes,Male,Immature,Normal,27.017162,-80.090542,10:26,9,2.74,83.7,28.72,,,Sand,7.8,2.4,Laser Photogrammetry,27,2,Traveling,N/A,No,South,Low,No,JI,8.4,JI,8.4,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,Yes,No,Yes,Yes,,Found Manta 62 with drone at 10:26 traveling south in clear water.  MR got in and easily got ID shot. Then NM and BT got in. JP got in with lasers and was successful and also got a mucous sample. He was pretty chill the entire encounter. Left him at 1053 still traveling south.,0aec8a67-394b-4466-9acc-8476e5a12599,VF 8/10/22,0,0
162,2020,Jul,7/2/2020,46,FMP Survey,Rikki,Yes,Female,Unknown,Normal,26.547290,-80.039130,9:48,10.8,3.29,83.3,28.5,,,Sand,9.4,2.9,Laser Photogrammetry,44,3,Traveling,N/A,N/A,South,Ebb,Yes,BBI,0.4,BBI,0.4,BBI,Yes,No,N/A,No,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Were out to deploy acoustic receivers at BBI.  Flew one drone flight and found Manta 46 at 9:48.  BT got in, got ID shot and she upside down swam for 40 sec. JP got in and measured with lasers.  MR got in a manta swam by shore in very shallow water.  After everyone got out, JP filmed with drone to get some shots of manta by inlet.  East of inlet at color line change, an eagle ray started following Manta 46. Eagle ray chased manta, and manta did evasive flips for about 10 minutes.  They separated again by inlet. Left Manta 46 by 10:32 traveling East. Disc width estimated 10.5",731cf012-c7ff-4bdc-ab9b-4d1e39410b7a,VF 8/10/22,0,1
163,2020,Jul,7/3/2020,46,FMP Survey,Rikki,Yes,Female,Unknown,Normal,27.078790,-80.118451,9:51,7.5,2.29,82.3,27.94,,,Sand,,,Not Estimated,44,3,Traveling,N/A,N/A,North,Ebb,No,SLI,10.4,SLI,10.4,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,Yes,No,Yes,Yes,,"Found Manta 46 with drone at 09:51 traveling north.  She was very relaxed and chill with all of us.  Everyone got in, BT got ID shot and measured with lasers. JP got in alone and got mucous.  On first attempt she spooked, but on later attemtps she actually seemed to enjoy it.  She slowly circled below JP and BT for ~10 minutes. Everyone got in one more time.  Left her at 10:35 traveling north. She was 61 km (38 miles) from were we saw her yesterday!",383b660e-a09d-4578-a570-fc5341abfb1b,VF 8/10/22,0,1
164,2020,Jul,7/28/2020,41,FMP Survey,Cleo,Yes,Female,Unknown,Normal,26.947740,-80.069810,12:25,11.5,3.51,82.9,28.28,,,Sand,,,Not Estimated,115,Not recorded,Feeding,Bottom,No,None,Flood,Yes,JI,0.4,JI,0.4,JI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,No,Yes,,"Found 4 mantas with the drone feeding just north of Jupiter Inlet.  Most of the mantas were pretty chill. Originally we throught we had missed the ID on this manta, but Dylann sent GoPro video she got as manta swam in line of mantas down the beach.  Swam away from Dylann and she didn't get best ID shot  99% of sure of identification- only got clear shot of left side of ventral but matches very well. Disc width not estimated. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.",f300de67-e821-41c6-81d2-dd5700d514e8,VF 8/10/22,0,1
165,2020,Jul,7/28/2020,56,FMP Survey,,Yes,Female,Unknown,Normal,26.947740,-80.069810,12:25,11.5,3.51,82.9,28.28,,,Sand,,,Not Estimated,115,Not recorded,Feeding,Bottom,No,None,Flood,Yes,JI,0.4,JI,0.4,JI,Yes,No,N/A,N/A,N/A,Yes,Cephalic Fin/Face,Fishing Line,Healed,,Yes,No,No,No,No,No,Yes,Yes,,"Found 4 mantas with the drone feeding just north of Jupiter Inlet.  Most of the mantas were pretty chill. JP attempted to tag this manta with acoustic tag, but tag bounced back out. Cephalic fin is truncated.  99% of sure of identification- no spots- used markings on shoulder patches to match- same CF injured. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.",73b7b952-2880-43db-b73d-ba1c6e1823d6,VF 8/10/22,0,1
166,2020,Jul,7/28/2020,67,FMP Survey,,Yes,Male,Immature,Normal,26.947740,-80.069810,12:25,11.5,3.51,82.9,28.28,,,Sand,,,Not Estimated,115,2,Feeding,Bottom,No,None,Flood,Yes,JI,0.4,JI,0.4,JI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found 4 mantas with the drone feeding just north of Jupiter Inlet.  Most of the mantas were pretty chill. Manta 67 has some irritation under gill slits. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.,b923fb47-729f-4361-8edd-12220ad5bca4,VF 8/10/22,0,0
167,2020,Jul,7/28/2020,68,FMP Survey,,Yes,Female,Unknown,Normal,26.947740,-80.069810,12:25,11.5,3.51,82.9,28.28,,,Sand,,,Not Estimated,115,2,Feeding,Bottom,No,None,Flood,Yes,JI,0.4,JI,0.4,JI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,Yes,No,No,No,No,Yes,Yes,,"Found 4 mantas with the drone feeding just north of Jupiter Inlet.  Most of the mantas were pretty chill.  BT put acoustic tag (ID34857, 1339951) on right dorsum at ~13:15. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.",7ae12a21-c92a-4068-91e7-a8077ce31b23,VF 8/10/22,0,0
168,2020,Jul,7/29/2020,33,FMP Survey,Leila,Yes,Female,Unknown,Normal,27.077570,-80.115800,10:28,10.7,3.26,82.9,28.28,,,Sand,8,2.4,Field Estimation,47,2,Traveling,N/A,N/A,North,Low,No,SLI,10.6,SLI,10.6,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,Yes,No,No,No,Yes,Yes,,Found Manta 33 at 10:28 traveling north.  JP got in and easily got ID shot.  Manta very relaxed.  BT got in and applied satellite tag at 10:36.  We then lost manta- found 2 mantas at same time but followed Manta 69 instead of Manta 33.  Found Manta 33 again with drone at 11:08.  BT was able to pull on tag and verified that it was secure. J. Peterson tried with lasers but was unsuccessful.  Decided to label this one as 33 to fill in a gap.,ea26602b-8031-4f62-a711-c8dcbef02790,VF 8/15/22,0,1
169,2020,Jul,7/29/2020,64,FMP Survey,Skye,Yes,Male,Immature,Normal,27.015160,-80.091340,14:47,10,3.05,85.4,29.67,,,Sand,7.5,2.3,Field Estimation,8,2,Not Determined,N/A,N/A,North,Flood,No,JI,8.2,JI,8.2,JI,No,No,N/A,N/A,N/A,Yes,Dorsal,Propellor,Healed,Yes,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 64 at 14:47 (without drone!) going north.  JP got in and got ID shot.  Saw that he had green algae in mouth, so got BT to get in to get mouth photos. Left 14:55 going north. Estimated disc width at 7.5. Notice old propellor injury this time, but was most likely there last time but went unnoticed because it has healed so well. In 2021, noticed old injury to lateral trailing edge of left pectoral fin. Appears to have been there since this encounter. Unable to determine cause.",fa02bcd2-2747-4ab3-82e2-8c7526554eac,VF 8/15/22,0,1
170,2020,Jul,7/29/2020,66,FMP Survey,Wiley,Yes,Female,Unknown,Normal,26.988490,-80.084220,9:35,9.4,2.87,83.4,28.56,,,Sand,8,2.4,Field Estimation,36,2,Feeding,Bottom,No,North,Low,No,JI,5.1,JI,5.1,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,Yes,No,Yes,Yes,,"Found Manta 66 while running fast up to SLI at 9:35.  JP got in and got ID shot.  Manta feeding. We lost the manta but found it again with drone.  We tried to put satellite tag on, but couldn't get close enough for an attempt.  Left manta at 1011.  Disc width estimated at 8 ft. Fishing lure no longer there, possibly hook is still embedded but difficult to tell if it is hook or scar from where hook was.  Saw Manta 66 again at 13:00 and BT got mucous sample after many unsuccessful attempts.  Left going north at 13:15. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.",f09dd8f8-cbe4-4597-9896-08ddd440d661,VF 8/15/22,0,0
171,2020,Jul,7/29/2020,69,FMP Survey,,Yes,Female,Unknown,Normal,27.080790,-80.115380,10:39,16.4,5,83.2,28.44,,,Sand,8,2.4,Field Estimation,20,2,Feeding,Bottom,No,North,Low,No,SLI,10.3,SLI,10.3,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,Yes,No,No,Yes,Yes,,"Found Manta 69 at 10:39 (crossed paths with Manta 33).  Feeding on bottom.  BT got ID shot, but manta a little skittish. Found again at 12:11.  JP got DNA sample.  BT got ID shot- unable to get lasers.",314cf7da-2678-43d5-aef2-c52d1671bfe8,VF 8/15/22,0,0
172,2020,Jul,7/29/2020,70,FMP Survey,,Yes,Female,Unknown,Normal,27.056840,-80.107380,13:23,10,3.05,84.2,29,,,Sand,8,2.4,Field Estimation,20,2,Traveling,N/A,N/A,North,Flood,No,SLI,13.1,SLI,13.1,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,Yes,No,No,No,No,No,Yes,,Found Manta 70 at 13:23.  JP got in and got ID shot.  BT put ton acoustic tag on right dorsum.,19a67260-af05-4063-b7e8-3fc80e3ede0c,VF 8/15/22,0,1
173,2020,Jul,7/29/2020,71,FMP Survey,,Yes,Male,Immature,Normal,27.028180,-80.094450,13:59,12.2,3.72,84.6,29.22,,,Sand,6.5,2,Field Estimation,19,1,Traveling,N/A,N/A,North,Flood,No,JI,9.7,JI,9.7,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,No,Yes,,"Found 2 mantas with drone at 13:59, one east (Manta 71) and one west (Manta 72).  JP got in and manta angry flipped over for 5 seconds. Left to find Manta 72.",1345d0a8-513c-4aa4-8e2c-468e7fe85878,VF 8/15/22,0,0
174,2020,Jul,7/29/2020,72,FMP Survey,,Yes,Male,Immature,Normal,27.024330,-80.094150,14:18,11.1,3.38,84.8,29.33,,,Sand,8.5,2.6,Field Estimation,19,1,Feeding,Bottom,No,North,Flood,No,JI,9.2,JI,9.2,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,No,Yes,,"Found 2 mantas with drone at 13:59, one east (Manta 71) and one west (Manta 72).  Went first with Manta 71.  Found Manta 72 again with drone at 14:18.  JP, JP and BT all had trouble getting ID shot.  BT finally got it.  Feeding. Left going north at 1437. 2/6/22 VF classified feeding as bottom based on videos of manta swimming on bottom with open mouth and unrolled CFs.",93995043-9bb7-4e1d-9493-06d4b10fec65,VF 8/15/22,0,1
175,2020,Jul,7/30/2020,64,FMP Survey,Skye,Yes,Male,Immature,Normal,26.967960,-80.077690,9:38,8.2,2.5,83.8,28.78,,,Sand,8,2.4,Field Estimation,34,3,Traveling,N/A,N/A,South,Ebb,No,JI,2.8,JI,2.8,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 64 with drone. Got ID shot, lost and had to find again with drone. JP got in to get biopsy, and manta swam upside down underneath her for a few minutes.  Manta was so close that Jess could see copepods moving around gills.  Manta was very calm and relaxed.  Jess attempted biopsy after he turned over but it didn't puncture all the way. Left manta going east at 10:12. Estimated disc width 8 ft.  Got closer look at dorsum and there appears to be healed injury on center of dorsum.",be636b63-20e9-4f20-9327-e4a73c2a96fa,VF 8/15/22,0,0
176,2020,Jul,7/30/2020,73,FMP Survey,,Yes,Female,Unknown,Normal,27.052070,-80.105510,10:44,8.6,2.62,84.4,29.11,,,Sand,7.5,2.3,Field Estimation,44,1,Feeding,Not recorded,No,South,Low,No,JI,12.5,JI,12.5,JI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 73 at 10:44.  EB and GB got in in shallow water, didn't get ID and lost it. Found Manta with drone at 11:05.  BT and EB got in- very skittish.  BT got faraway ID shot.  We gave up on manta but she swam by boat again and BT got ID shot.  Took a break to eat lunch at 11:28 and watched manta feed during break.",bf711e54-ae1d-43f7-9587-38fadc115a0c,VF 8/15/22,0,0
177,2020,Jul,7/30/2020,74,FMP Survey,,Yes,Male,Immature,Normal,27.066200,-80.110030,11:48,15.2,4.63,84.4,29.11,,,Sand,8,2.4,Field Estimation,42,1,Traveling,N/A,N/A,North,Low,No,SLI,12,SLI,12,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 74 with drone.  BT got in 2x but he turns when he gets in water. BT got ID shot from faraway.  Very skittish.  Lost and found again with drone.  JP got ID shot and noticed parasites around eyes.  BT got in to get photos. Left at 12:30 going East.,e0c982aa-4e02-45c6-927d-3d85a3e568ba,VF 8/15/22,0,0
178,2020,Jul,7/30/2020,75,FMP Survey,,Yes,Male,Immature,Normal,27.067770,-80.111290,12:56,13.3,4.05,85,29.44,,,Sand,6.5,2,Field Estimation,24,1,Not Determined,N/A,N/A,North,Flood,No,SLI,11.8,SLI,11.8,SLI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 75 traveling north while running quickly back south.  Very skittish.  JP missed ID shot, but BT got it.  Left Manta going south at 13:20.",f3d6cb9e-e13e-4a9e-8d2f-8c785a720516,VF 8/15/22,0,1
179,2020,Aug,8/4/2020,No ID,FMP Survey,,No,Female,Unknown,Normal,27.001440,-80.086720,9:45,10.7,3.26,82.3,27.94,,,Sand,7,2.1,Field Estimation,14,2,Not Determined,N/A,N/A,South,High,No,JI,6.6,JI,6.6,JI,No,,,,,,,,,,No,No,No,No,No,No,Yes,No,,"Found Manta at 9:45. Manta rapidly traveling south.  BT and KM got in but viz really bad (<5ft).  When they got close, Manta would slow down and peek over her shoulder.  Unable to get ID shot and lost manta while landing 2nd drone. (beh=2, sand, DW=7 ft, **Calcuate traveling speed). ",,VF 8/16/22,0,1
